time	acc	vel	disp
2.785	0.454507	-0.00852997	0.00340512
2.79	0.456438	-0.00625261	0.00336816
2.795	0.425549	-0.00404764	0.00334241
2.8	0.375134	-0.00204593	0.00332718
2.805	0.326188	-0.000292629	0.00332133
2.81	0.294531	0.00125917	0.00332375
2.815	0.284876	0.00270769	0.00333366
2.82	0.293048	0.0041525	0.00335081
2.825	0.311062	0.00566278	0.00337535
2.83	0.331736	0.00726977	0.00340768
2.835	0.350989	0.00897658	0.0034483
2.84	0.36821	0.0107746	0.00349768
2.845	0.384988	0.0126576	0.00355626
2.85	0.403512	0.0146288	0.00362447
2.855	0.423017	0.0166951	0.00370278
2.86	0.439474	0.0188514	0.00379165
2.865	0.448287	0.0210708	0.00389145
2.87	0.44595	0.0233064	0.0040024
2.875	0.430996	0.0254987	0.00412441
2.88	0.404043	0.0275863	0.00425712
2.885	0.367492	0.0295152	0.00439988
2.89	0.324572	0.0312453	0.00455178
2.895	0.27896	0.0327542	0.00471178
2.9	0.234197	0.0340371	0.00487875
2.905	0.19308	0.0351052	0.00505161
2.91	0.157356	0.0359813	0.00522933
2.915	0.127699	0.036694	0.00541101
2.92	0.103855	0.0372729	0.00559593
2.925	0.0849793	0.0377449	0.00578348
2.93	0.0698926	0.0381321	0.00597317
2.935	0.0573729	0.0384503	0.00616463
2.94	0.0463273	0.0387095	0.00635752
2.945	0.0359493	0.0389152	0.00655159
2.95	0.0257561	0.0390695	0.00674655
2.955	0.0160496	0.039174	0.00694216
2.96	0.0084924	0.0392354	0.00713818
2.965	0.00548101	0.0392703	0.00733444
